id,alcohol,fixed_acidity,residual_sugar,quality,density
150,11.2,7.9,8.0,high,0.9919
151,11.8,10.4,11.2,low,0.9919
152,11.9,7.6,2.4,high,0.9968
153,13.6,14.0,7.8,high,0.9929
154,10.6,4.7,12.6,high,0.9975
155,12.6,7.2,0.5,medium,0.9911
156,11.0,4.2,12.2,medium,0.992
157,11.8,10.9,8.0,medium,0.9999
158,11.7,6.1,4.7,medium,0.9921
159,9.4,8.0,12.6,high,0.9991
160,9.5,4.6,12.0,medium,0.9989
161,8.5,12.8,7.1,medium,0.991
162,13.9,13.1,7.8,medium,0.9919
163,9.2,5.7,11.4,high,0.9953
164,11.9,13.8,7.0,high,0.995
165,8.1,13.2,2.5,medium,0.9973
166,13.5,12.6,4.6,high,1.0038
167,12.1,10.7,12.4,low,0.9965
168,9.6,4.2,1.9,medium,0.9984
169,12.1,10.6,7.9,low,0.992
170,11.8,10.4,13.0,high,0.991
171,10.9,12.6,5.3,medium,1.0
172,13.2,7.4,0.7,medium,0.9915
173,10.9,15.6,2.3,high,1.0016
174,9.4,4.8,1.0,medium,0.9985
175,9.8,7.5,4.9,high,1.0007
176,13.4,15.1,6.9,medium,0.993
177,8.7,9.8,14.1,low,0.9952
178,10.4,13.4,8.8,low,0.9965
179,10.0,8.4,10.0,high,1.0032
180,13.1,10.0,10.3,high,1.0046
181,13.7,10.3,6.5,medium,1.0009
182,12.9,12.1,3.6,high,0.9965
183,12.1,7.3,13.4,high,0.9932
184,12.2,10.7,3.5,low,0.9909
185,12.2,5.6,5.8,medium,0.9907
186,13.3,10.6,12.9,high,0.9968
187,9.4,13.4,4.0,medium,1.0009
188,13.6,13.1,9.1,medium,1.0027
189,13.6,12.8,9.9,low,0.9971
190,13.9,14.7,3.3,low,0.9959
191,10.7,10.1,12.4,medium,0.9992
192,11.9,14.7,0.6,high,1.0023
193,9.2,7.6,5.7,medium,1.0008
194,11.6,11.3,13.8,high,0.9978
195,12.7,4.8,12.4,medium,0.9982
196,8.7,7.6,14.5,low,0.9968
197,9.9,9.6,12.4,medium,0.9961
198,13.5,7.0,7.6,high,1.0043
199,12.6,11.1,7.6,medium,0.9966
200,13.4,9.1,0.9,high,0.9968
201,10.3,12.0,10.2,medium,0.9915
202,11.0,7.8,14.0,low,0.9938
203,11.2,8.0,3.1,medium,1.0038
204,10.3,8.0,0.8,medium,1.0012
205,10.3,10.3,12.1,medium,0.9955
206,9.4,6.5,2.9,high,0.995
207,13.5,13.5,1.0,low,0.9923
208,8.4,6.7,4.4,medium,0.993
209,9.4,4.2,8.8,low,0.9936
210,8.9,10.3,14.6,medium,1.0027
211,13.8,10.4,8.2,medium,0.9966
212,8.6,12.9,1.2,medium,1.001
213,12.6,15.7,4.9,medium,1.0042
214,11.9,12.5,3.1,high,0.9922
215,11.6,14.8,14.4,high,1.0035
216,9.1,6.4,9.0,medium,0.993
217,13.6,15.0,9.6,high,1.0042
218,9.6,14.3,8.1,low,0.9999
219,13.6,8.8,12.0,medium,1.0047
220,11.2,13.7,9.3,medium,0.9905
221,13.4,9.2,13.4,high,1.002
222,12.1,12.6,12.0,high,0.9988
223,9.4,6.5,4.6,low,0.9925
224,13.7,6.8,9.3,low,0.99
225,11.8,5.1,10.7,medium,0.9921
226,9.9,10.4,7.0,high,0.9968
227,8.8,14.9,3.5,high,0.9941
228,9.0,15.6,4.5,high,0.9926
229,12.3,14.6,14.1,low,0.9973
230,12.4,9.5,5.9,high,0.9966
231,11.3,14.7,1.2,high,0.9975
232,11.4,8.3,1.3,low,0.9982
233,,10.6,8.3,medium,0.9958
234,9.3,8.0,12.6,medium,1.004
235,11.4,5.8,9.3,low,0.9976
236,13.1,14.5,9.2,high,0.9934
237,10.5,10.1,6.8,low,1.0038
238,8.0,12.2,7.4,medium,0.9963
239,10.3,12.7,10.4,medium,0.9957
240,10.8,11.3,5.7,medium,0.9935
241,9.9,14.0,1.4,medium,1.0028
242,12.5,12.0,15.0,low,0.9926
243,13.0,7.7,8.5,low,1.005
244,,12.3,5.1,medium,0.9993
245,12.5,6.7,3.0,medium,0.992
246,13.5,13.4,10.7,low,0.9916
247,12.8,10.8,7.5,high,1.0048
248,12.5,12.0,14.3,low,0.9998
249,11.5,14.4,7.1,high,0.9935
250,13.4,6.8,4.1,high,0.9926
251,11.2,7.0,9.4,medium,1.0037
252,8.2,11.1,1.4,medium,0.9905
253,10.7,8.1,5.8,high,1.0029
254,10.2,11.2,7.0,high,1.0039
255,9.4,7.7,7.3,low,0.9953
256,12.1,4.4,7.0,low,0.9914
257,13.8,11.8,4.9,high,0.9988
258,13.9,10.2,9.5,low,0.9982
259,13.4,6.0,7.6,medium,0.9959
260,10.9,4.2,14.4,high,0.9954
261,12.0,10.8,12.0,low,0.995
262,10.4,6.4,7.6,medium,0.9973
263,12.8,11.2,1.1,low,0.9927
264,11.0,11.3,13.2,high,0.993
265,11.6,12.1,10.1,medium,0.9927
266,11.3,13.9,12.3,medium,0.9982
267,8.1,5.7,4.7,medium,0.9964
268,11.7,12.8,12.7,medium,1.0038
269,8.4,13.8,6.3,medium,0.9942
270,8.7,15.2,6.6,medium,0.9907
271,13.6,5.5,11.0,medium,1.0039
272,12.7,14.4,13.7,high,0.9913
273,13.1,6.7,10.7,high,0.993
274,9.9,10.8,7.2,high,1.0005
275,13.2,14.0,6.4,low,0.9918
276,13.1,8.8,13.8,medium,1.0035
277,13.7,13.0,6.5,low,0.991
278,10.6,15.9,13.3,medium,0.9978
279,9.9,15.9,1.7,low,0.9995
280,8.4,9.8,12.9,medium,0.9997
281,8.4,9.1,0.8,high,1.0043
282,12.5,12.6,13.7,medium,0.9999
283,9.9,7.4,14.1,low,0.997
284,9.2,11.3,11.9,medium,1.0025
285,9.6,4.3,2.2,high,0.9947
286,10.1,9.0,5.2,medium,1.0009
287,12.6,13.9,0.5,high,0.9915
288,8.7,14.1,8.4,low,1.0037
289,9.7,7.1,8.5,medium,1.0015
290,8.4,14.0,13.2,low,0.991
291,12.1,11.6,8.0,low,0.9988
292,10.8,9.8,0.6,high,0.9973
293,8.9,14.0,7.6,low,1.0025
294,9.1,10.1,3.6,low,0.9975
295,13.3,9.8,12.4,high,0.9957
296,9.5,9.8,7.6,low,0.9983
297,9.2,7.7,8.0,high,1.0008
298,8.5,14.5,11.8,low,0.9937
299,10.3,14.5,11.3,high,0.9955
300,9.6,6.3,10.0,medium,0.9925
301,12.6,13.8,11.7,high,0.9913
302,8.4,8.8,7.4,medium,0.9995
303,13.4,7.6,6.5,low,1.0034
304,13.3,7.9,14.1,low,0.9978
305,9.1,11.0,2.7,low,1.0011
306,13.0,14.4,3.9,low,0.9957
307,8.6,5.6,10.2,high,0.9979
308,12.1,9.6,7.6,medium,0.9979
309,11.1,6.1,9.6,low,0.9998
310,9.1,6.3,0.6,high,0.9932
311,8.6,10.0,12.6,medium,1.0002
312,10.0,16.0,3.1,high,0.9961
313,12.6,14.6,12.7,low,0.9942
314,11.7,16.0,1.4,medium,1.005
315,8.9,12.5,5.0,low,1.0002
316,14.0,12.7,1.1,low,0.9913
317,12.8,11.7,8.9,low,0.9958
318,10.1,15.5,1.8,high,1.0001
319,8.5,7.8,13.1,low,1.003
320,12.2,10.5,1.4,low,0.9971
321,8.0,11.7,2.1,high,1.0001
322,13.8,5.3,5.2,low,1.0038
323,10.2,8.4,13.6,high,0.9938
324,13.0,10.6,13.4,medium,1.0018
325,12.3,13.4,12.6,low,0.9945
326,11.4,9.2,14.7,low,0.9943
327,10.0,14.8,8.4,high,0.999
328,13.2,8.9,13.3,low,0.9985
329,10.7,8.8,4.2,medium,0.9912
330,12.9,5.9,3.7,high,0.9944
331,10.9,11.9,1.3,low,1.0007
332,8.8,4.7,8.8,low,0.9941
333,13.9,7.4,14.4,high,1.0019
334,12.4,6.3,12.7,medium,1.0044
335,10.9,11.2,14.9,medium,0.9902
336,8.6,9.2,6.7,low,0.994
337,8.1,14.8,3.1,low,0.9957
338,10.1,14.2,4.5,low,0.9901
339,11.8,16.0,5.0,high,0.9906
340,10.6,5.3,8.3,low,1.0017
341,12.8,8.9,4.5,low,0.9921
342,10.2,6.7,11.6,low,0.995
343,10.3,7.9,3.5,medium,1.0009
344,13.3,7.9,0.8,medium,0.9953
345,13.5,15.4,2.0,low,0.9993
346,10.3,7.4,2.8,medium,0.9921
347,9.1,12.0,0.5,medium,0.9965
348,11.5,13.6,8.0,high,0.9925
349,9.4,15.4,5.6,high,0.9977
350,10.2,11.8,8.4,high,1.0043
351,13.5,11.1,9.9,medium,1.0034
352,10.6,11.5,12.4,medium,1.0017
353,9.4,11.9,8.4,low,1.0007
354,9.5,12.2,14.8,high,0.9948
355,12.4,11.8,10.4,low,1.0036
356,12.8,15.1,12.2,low,0.9969
357,9.6,6.3,5.9,high,0.9914
358,12.4,6.2,4.8,high,1.0021
359,9.4,5.1,14.0,high,0.9941
360,8.5,12.0,7.5,low,0.9947
361,11.1,15.6,5.4,medium,1.0023
362,11.8,6.4,3.9,low,1.0046
363,8.3,6.2,3.8,low,0.9961
364,9.2,4.1,9.8,high,0.9981
365,10.8,15.4,6.1,medium,0.9989
366,8.5,10.6,6.7,high,1.0017
367,12.5,10.3,2.0,medium,1.0007
368,13.9,13.7,1.8,low,0.9953
369,13.3,11.1,7.4,medium,1.0037
370,8.2,11.2,13.8,medium,0.9951
371,13.4,15.1,3.7,medium,0.9934
372,12.7,10.5,13.6,high,1.002
373,10.2,9.1,5.8,low,0.9914
374,8.1,5.3,6.4,medium,0.9929
375,8.6,7.9,1.8,high,1.0048
376,8.5,4.8,3.2,medium,0.9968
377,9.4,14.1,0.6,high,0.9975
378,9.9,6.7,14.9,high,1.0017
379,8.2,15.5,7.3,high,1.0038
380,13.4,15.7,14.9,high,1.0017
381,12.7,8.4,12.9,high,0.9984
382,11.7,8.6,10.9,high,1.0012
383,10.1,5.9,11.3,medium,1.0022
384,13.4,9.6,9.5,low,1.0028
385,8.6,12.0,6.3,low,0.9958
386,9.5,15.8,4.6,high,0.9941
387,13.4,14.4,1.3,high,0.9904
388,10.3,14.3,11.2,high,1.0024
389,13.1,13.8,11.5,low,1.0045
390,12.7,8.6,1.3,medium,0.9963
391,13.7,9.9,4.1,low,0.9986
392,13.8,10.0,9.6,high,0.9968
393,12.7,15.4,3.0,high,0.9982
394,10.4,9.0,10.6,low,1.0025
395,8.8,12.7,13.2,medium,1.0004
396,8.2,10.0,6.7,low,0.9921
397,8.9,8.5,14.2,medium,1.0025
398,10.0,9.0,1.5,low,0.9918
399,11.3,8.6,4.6,low,0.9931
400,11.1,15.1,6.6,high,0.9999
401,8.6,12.1,12.1,medium,0.9949
402,13.8,10.7,12.6,low,1.0029
403,,12.2,7.3,medium,0.9962
404,8.5,15.0,12.5,high,1.0001
405,8.6,4.4,11.5,high,1.0034
406,11.4,11.0,10.0,medium,0.9964
407,12.3,11.4,2.7,medium,0.9929
408,9.8,12.1,14.9,medium,1.001
409,8.8,14.1,8.3,medium,0.993
410,10.1,9.6,3.8,medium,1.0031
411,10.8,14.7,1.2,high,0.9949
412,8.0,15.5,13.6,medium,1.0046
413,9.3,4.4,7.8,low,0.9978
414,8.9,12.2,12.4,high,0.9909
415,11.8,11.4,10.9,medium,1.0006
416,10.4,15.1,2.6,high,0.9922
417,11.9,15.7,2.5,high,0.9973
418,12.9,15.2,7.1,high,0.99
419,11.0,5.4,12.3,medium,0.9904
420,11.1,5.7,13.2,low,0.9951
421,11.2,6.9,14.4,low,0.9962
422,12.4,7.8,6.4,high,0.9906
423,9.9,7.6,6.4,medium,0.9925
424,11.2,7.9,8.2,medium,0.9956
425,10.4,15.1,10.9,high,0.998
426,11.7,8.4,7.6,medium,1.0034
427,13.3,7.2,10.9,low,0.9945
428,10.8,5.6,1.2,medium,1.0019
429,10.1,4.1,5.7,medium,0.998
430,12.1,9.2,14.7,high,1.0035
431,11.1,12.0,7.1,medium,0.9948
432,13.0,9.7,14.0,high,0.9941
433,10.1,14.7,,high,0.9959
434,8.3,5.4,9.1,medium,0.9918
435,13.2,10.9,0.9,low,0.9973
436,10.3,13.2,9.0,medium,1.0004
437,10.5,8.5,2.2,high,1.0025
438,11.0,5.3,,high,0.9901
439,11.2,5.2,5.5,medium,0.9988
440,9.9,7.8,4.3,low,0.9963
441,10.1,15.1,3.2,medium,0.9919
442,13.2,12.3,5.5,high,0.9979
443,12.2,12.0,2.7,high,0.9922
444,,11.4,11.3,medium,0.9945
445,8.6,13.9,,high,0.9965
446,11.5,13.9,13.3,low,1.0048
447,13.0,14.3,13.1,low,0.994
448,9.8,8.8,7.1,low,1.0034
449,11.6,11.0,3.2,high,0.9959
450,9.2,7.0,4.5,medium,1.0039
451,10.8,6.8,3.1,medium,1.004
452,13.8,14.6,7.6,low,1.0049
453,11.4,15.0,6.2,medium,0.9916
454,8.7,5.0,13.2,medium,0.9984
455,11.3,6.9,0.7,high,0.996
456,8.7,5.5,14.3,medium,0.9975
457,13.0,11.7,0.5,high,0.9907
458,13.2,11.1,5.9,low,0.9985
459,8.5,5.9,4.6,low,0.9905
460,9.8,10.6,4.8,low,0.9956
461,12.0,10.6,11.3,medium,1.0005
462,11.5,6.9,3.1,medium,0.9991
463,12.7,11.9,13.4,low,1.0008
464,11.5,10.6,3.2,high,0.99
465,9.9,6.1,9.5,low,0.9979
466,8.3,7.9,2.4,low,1.0046
467,13.9,7.0,10.6,high,1.0007
468,8.5,6.6,5.6,high,0.9919
469,10.4,14.6,1.2,medium,0.9918
470,11.5,15.6,5.5,high,1.0039
471,10.5,5.9,0.8,medium,0.9996
472,10.0,11.4,9.9,medium,0.9932
473,10.4,5.1,7.4,low,1.0048
474,9.4,4.4,8.5,high,0.9956
475,9.8,14.3,1.0,low,1.0048
476,8.3,11.9,13.0,medium,1.0007
477,11.9,8.1,14.8,low,1.0046
478,13.5,12.2,7.8,low,1.0041
479,12.9,13.8,14.1,high,0.9974
480,8.2,8.8,4.5,medium,1.0012
481,10.7,6.8,2.1,low,0.9949
482,13.6,6.5,4.3,high,0.998
483,8.2,5.2,8.1,medium,1.0019
484,8.5,10.9,14.5,medium,1.0042
485,12.5,10.1,3.9,high,0.9955
486,13.1,14.6,1.4,medium,0.9949
487,8.2,7.6,10.3,medium,0.9922
488,8.1,6.7,6.5,low,0.9947
489,9.8,14.0,13.8,high,0.9942
490,12.4,4.7,13.0,low,1.0035
491,8.5,4.8,4.5,low,1.0004
492,10.3,13.1,6.9,medium,0.9941
493,11.1,5.1,4.2,high,0.9912
494,11.6,10.9,8.0,high,0.9973
495,9.4,7.4,14.4,low,0.9905
496,10.4,11.3,2.6,high,0.9915
497,10.3,13.3,1.7,high,0.9968
498,12.9,6.8,8.6,medium,1.0047
499,9.1,10.8,14.5,medium,0.9946
500,13.1,12.3,12.4,high,1.0
501,13.8,14.0,10.1,high,0.9988
502,12.5,5.1,2.1,low,0.9922
503,8.3,10.5,13.5,high,0.9966
504,13.7,7.5,8.5,medium,0.9902
505,13.9,12.0,12.2,high,0.9905
506,13.7,6.1,10.0,low,1.0023
507,11.4,7.1,2.8,low,0.9923
508,9.6,15.6,6.2,high,0.9913
509,13.2,11.8,14.4,high,0.9957
510,10.8,7.5,6.7,high,0.9949
511,12.4,6.1,7.8,medium,0.9991
512,10.4,7.6,13.4,low,1.0021
513,9.1,5.4,1.1,low,1.0049
514,12.5,8.4,2.7,high,0.997
515,9.9,12.0,0.6,low,0.9932
516,13.7,8.3,4.4,low,1.0018
517,13.0,15.4,1.8,low,0.9928
518,12.0,10.4,10.4,medium,1.0001
519,11.4,5.9,4.5,medium,1.0025
520,10.9,9.5,1.1,low,0.999
521,13.9,7.0,9.2,high,0.9944
522,12.5,6.3,6.6,medium,1.0043
523,8.1,5.3,6.3,medium,1.0013
524,9.9,9.9,7.1,high,0.9998
525,8.9,9.6,0.8,low,0.9986
526,11.9,14.8,8.7,low,1.0034
527,11.2,6.4,1.3,high,0.9954
528,12.3,9.4,13.7,low,1.0002
529,8.0,10.2,3.7,high,0.9917
530,11.2,15.3,11.2,medium,1.0029
531,12.8,14.5,5.0,medium,0.9946
532,8.5,14.6,4.7,medium,1.0031
533,12.2,13.1,13.7,medium,1.0013
534,10.4,11.6,1.6,high,0.9925
535,11.2,15.6,6.8,high,1.0025
536,12.6,9.8,3.4,high,1.003
537,12.9,15.1,3.5,high,1.0032
538,11.9,14.2,9.1,high,0.9994
539,9.3,4.2,2.2,medium,1.0035
540,9.4,11.4,4.0,medium,0.9916
541,12.3,11.9,11.0,medium,1.0049
542,12.1,9.7,10.1,high,0.9911
543,8.3,10.4,9.9,medium,0.9939
544,11.6,6.6,2.8,high,0.9909
545,9.0,7.3,2.6,high,1.0023
546,10.8,12.4,1.0,high,1.0
547,12.3,10.7,9.2,low,1.0009
548,13.2,9.3,7.8,low,0.993
549,10.8,14.8,2.2,low,1.0031
550,10.0,11.3,13.6,medium,1.0012
551,11.9,12.9,14.8,medium,1.0017
552,8.3,7.8,10.2,low,0.9917
553,8.7,6.8,12.1,low,0.9958
554,11.1,9.9,9.8,low,1.0027
555,9.0,14.2,10.5,low,0.9944
556,10.3,9.0,8.8,medium,0.9977
557,12.2,6.9,11.2,medium,1.0036
558,11.8,15.6,4.6,high,1.0013
559,14.0,14.5,5.2,high,0.9907
560,10.3,4.6,10.6,high,0.9911
561,13.3,10.5,3.8,low,0.9962
562,9.8,14.4,5.0,medium,1.0002
563,10.4,8.5,13.7,medium,0.9994
564,11.5,15.3,5.9,high,0.9915
565,9.0,11.3,0.9,medium,0.9956
566,10.6,11.2,11.5,medium,0.9932
567,10.3,5.9,11.4,medium,1.0002
568,8.5,11.5,8.9,medium,0.9992
569,10.3,15.4,2.3,low,0.9967
570,10.5,9.1,1.1,low,0.9935
571,9.6,10.9,11.2,medium,0.9961
572,12.4,9.8,13.2,low,0.9979
573,13.1,7.5,6.8,medium,0.992
574,13.7,10.8,4.8,low,1.0048
575,13.6,5.3,11.9,low,0.9962
576,13.8,11.9,0.9,medium,1.0003
577,10.6,15.4,3.0,low,0.9958
578,10.7,4.3,7.1,medium,0.995
579,10.7,9.4,4.5,medium,1.0033
580,10.4,14.2,11.4,medium,0.9947
581,12.9,4.8,7.3,medium,0.9909
582,12.1,10.1,2.1,medium,1.0009
583,9.3,9.7,12.7,medium,0.9941
584,11.5,15.8,3.3,high,0.9952
585,9.6,8.5,0.7,high,0.9933
586,8.1,7.5,1.2,low,1.004
587,13.9,5.9,7.6,medium,0.9945
588,10.7,7.3,9.9,medium,0.9981
589,12.8,15.3,0.8,high,0.9947
590,8.5,7.1,3.2,medium,1.0019
591,13.2,15.5,3.7,low,0.9999
592,8.6,9.0,6.2,high,1.0034
593,12.0,11.1,3.2,low,1.0004
594,13.0,14.2,10.7,medium,0.9995
595,10.6,14.5,8.1,medium,0.9937
596,13.4,15.2,4.3,high,1.0022
597,9.9,6.3,7.1,medium,1.0048
598,12.4,6.3,0.9,low,1.0047
599,12.0,15.1,1.5,low,0.9989
600,8.9,10.8,4.1,high,1.0014
601,13.7,11.5,10.7,low,0.9934
602,9.4,11.7,12.1,high,0.9956
603,12.9,15.2,2.9,medium,1.0006
604,12.0,12.0,10.3,low,0.9953
605,12.5,6.2,7.0,medium,1.0043
606,10.1,15.1,12.4,medium,0.9974
607,8.1,14.4,11.7,low,0.9926
608,8.4,15.2,9.4,medium,0.9936
609,8.5,7.6,6.6,medium,1.0048
610,9.7,9.9,12.9,low,0.9902
611,8.3,9.3,9.1,medium,0.9934
612,12.7,14.6,14.7,medium,0.9971
613,9.2,5.2,9.5,medium,1.001
614,9.3,4.7,5.7,low,1.0013
615,13.7,13.7,3.6,high,1.0046
616,9.2,10.2,4.7,medium,1.0005
617,8.2,5.5,14.7,low,0.9945
618,9.4,14.6,3.2,medium,0.9934
619,9.5,15.6,13.7,high,0.9942
620,9.7,5.8,2.1,high,0.9962
621,11.0,10.0,6.2,medium,1.0043
622,12.1,12.0,12.2,medium,0.9916
623,13.3,11.9,3.1,medium,1.0008
624,13.0,11.3,9.4,high,1.0008
625,8.1,14.7,5.2,high,0.9942
626,8.1,11.5,4.7,high,1.0035
627,10.5,7.7,3.7,medium,0.9937
628,10.0,8.3,11.2,low,0.9975
629,10.4,10.6,5.3,medium,0.9959
630,13.4,15.5,8.5,low,0.9912
631,11.7,5.4,1.4,medium,0.9921
632,10.3,5.6,2.6,high,1.0013
633,11.8,15.3,13.1,low,1.0006
634,10.4,7.8,8.5,medium,1.0031
635,13.3,16.0,14.1,high,0.9948
636,13.4,5.8,2.3,high,0.9954
637,13.7,12.9,12.9,low,1.0045
638,13.9,7.5,4.1,medium,0.9967
639,11.7,7.9,3.1,high,0.9922
640,11.8,7.8,11.9,medium,0.996
641,11.4,15.4,1.7,high,0.999
642,11.6,13.8,7.5,high,1.0012
643,12.2,11.4,14.5,medium,0.9948
644,12.8,15.8,2.9,high,0.9979
645,9.9,12.5,12.6,medium,0.9988
646,13.2,11.8,11.1,high,0.9986
647,13.8,9.2,5.8,high,0.9986
648,8.1,12.7,12.8,high,0.998
649,8.9,13.7,3.6,medium,0.9931
650,12.1,7.8,4.7,medium,0.9986
651,10.3,14.4,13.6,low,0.9999
652,8.8,10.1,1.2,low,1.0036
653,11.4,14.2,7.9,low,0.999
654,9.5,15.9,6.1,low,0.9902
655,8.9,9.4,4.7,high,0.9949
656,9.5,6.7,13.6,high,0.9923
